fpr,tpr,threshold
0.0046705933197505,1.0,4.885219573974609
0.004718256467247,1.0,4.876082897186279
0.0047770821757115,1.0,4.864564895629883
0.0048267950855096,1.0,4.855414867401123
0.0048785824535407,1.0,4.845911979675293
0.0049252083719207,1.0,4.837536811828613
0.004974081620053,1.0,4.828371047973633
0.0050258442921528,1.0,4.819176197052002
0.0050781749706735,1.0,4.810335159301758
0.0051269000432178,1.0,4.801438331604004
0.005179477681052,1.0,4.792065620422363
0.0052315860961906,1.0,4.783307552337647
0.0052752978946718,1.0,4.775794982910156
0.0053166882756065,1.0,4.768892288208008
0.0053632401061925,1.0,4.761247158050537
0.0054120639624621,1.0,4.753411293029785
0.0054603692041736,1.0,4.745255947113037
0.0055118355250972,1.0,4.737360954284668
0.0055547076619127,1.0,4.730507850646973
0.0055947397666234,1.0,4.724281311035156
0.0056374143359881,1.0,4.71744966506958
0.0056797184663826,1.0,4.7109904289245605
0.0057217756374637,1.0,4.704522132873535
0.0057681052046675,1.0,4.69745683670044
0.0058105822065814,1.0,4.69102144241333
0.0058500956967339,1.0,4.685062885284424
0.0058924245230598,1.0,4.67864990234375
0.0059373711181082,1.0,4.671676635742188
0.0059790084583564,1.0,4.665684700012207
0.0060202753596345,1.0,4.659584999084473
0.0060636414150768,1.0,4.653349876403809
0.0061094029758597,1.0,4.646646976470947
0.0061511390998333,1.0,4.640806674957275
0.0061932209668457,1.0,4.635050296783447
0.0062381428659628,1.0,4.628935813903809
0.006283855034883,1.0,4.622628211975098
0.0063243316663579,1.0,4.616974830627441
0.0063621905291103,1.0,4.61185359954834
0.0063992097301969,1.0,4.606964111328125
0.0064424770019139,1.0,4.601250648498535
0.0064809038710872,1.0,4.596338272094727
0.0065164166203617,1.0,4.591755390167236
0.0065551151447798,1.0,4.586594581604004
0.0065978638019386,1.0,4.580970764160156
0.0066377724269926,1.0,4.575685024261475
0.0066741001420016,1.0,4.570885181427002
0.0067130703216645,1.0,4.566124439239502
0.006753448169414,1.0,4.560902118682861
0.0067905908501574,1.0,4.556276321411133
0.0068308452182502,1.0,4.551301956176758
0.006867444588504,1.0,4.546826362609863
0.0069049577082175,1.0,4.542259216308594
0.0069419028215101,1.0,4.537610530853272
0.0069760325986293,1.0,4.53336763381958
0.0070156201765759,1.0,4.528602600097656
0.0070541705254059,1.0,4.524112701416016
0.0070952398592331,1.0,4.519042491912842
0.0071377415570784,1.0,4.513984203338623
0.007176119034389,1.0,4.509559631347656
0.0072181268136074,1.0,4.50457239151001
0.0072560844600852,1.0,4.50014591217041
0.0072979193677841,1.0,4.495186805725098
0.0073328394147064,1.0,4.491174221038818
0.0073696610483422,1.0,4.48692512512207
0.0074063838982527,1.0,4.482547760009766
0.0074402667160585,1.0,4.478781700134277
0.0074770389578316,1.0,4.474730968475342
0.0075119096128912,1.0,4.470797538757324
0.0075510279681422,1.0,4.466430187225342
0.0075900969315305,1.0,4.461938858032227
0.007628326233253,1.0,4.457530498504639
0.007665370130271,1.0,4.453418254852295
0.0077016731493486,1.0,4.449337959289551
0.0077398283632771,1.0,4.445189476013184
0.007776081990492,1.0,4.441159725189209
0.0078123850095696,1.0,4.437294006347656
0.0078509353583997,1.0,4.433094024658203
0.0078831882447366,1.0,4.429680824279785
0.0079168734950916,1.0,4.426085472106934
0.0079522627647095,1.0,4.422338485717773
0.0079881953448169,1.0,4.418638229370117
0.0080248441069333,1.0,4.414802551269531
0.0080597147619929,1.0,4.4109954833984375
0.0080917206890164,1.0,4.407628059387207
0.0081277520528492,1.0,4.403899669647217
0.0081613385194789,1.0,4.400439262390137
0.0081992961659566,1.0,4.396500110626221
0.008233154287831,1.0,4.3931498527526855
0.0082662221399024,1.0,4.389824390411377
