dataset,data_type,event_name,detector,url,doi_or_source,local_path,download_status,duration_s,gps_start
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230712_090405,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230712_090405/IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230723_101834,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230723_101834/IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230726_002940,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230726_002940-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230726_002940/IGWN-GWTC4p1-18965dda8_5-GW230726_002940-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230729_082317,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230729_082317/IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230731_215307,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230731_215307-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230731_215307/IGWN-GWTC4p1-18965dda8_5-GW230731_215307-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230803_033412,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230803_033412-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230803_033412/IGWN-GWTC4p1-18965dda8_5-GW230803_033412-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230805_034249,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230805_034249-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230805_034249/IGWN-GWTC4p1-18965dda8_5-GW230805_034249-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230806_204041,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230806_204041-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230806_204041/IGWN-GWTC4p1-18965dda8_5-GW230806_204041-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230811_032116,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230811_032116-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230811_032116/IGWN-GWTC4p1-18965dda8_5-GW230811_032116-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230814_061920,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230814_061920-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230814_061920/IGWN-GWTC4p1-18965dda8_5-GW230814_061920-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230814_230901,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230814_230901-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230814_230901/IGWN-GWTC4p1-18965dda8_5-GW230814_230901-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230819_171910,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230819_171910-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230819_171910/IGWN-GWTC4p1-18965dda8_5-GW230819_171910-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230820_212515,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230820_212515-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230820_212515/IGWN-GWTC4p1-18965dda8_5-GW230820_212515-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230824_033047,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230824_033047-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230824_033047/IGWN-GWTC4p1-18965dda8_5-GW230824_033047-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230825_041334,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230825_041334-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230825_041334/IGWN-GWTC4p1-18965dda8_5-GW230825_041334-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230831_015414,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230831_015414-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230831_015414/IGWN-GWTC4p1-18965dda8_5-GW230831_015414-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230904_051013,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230904_051013-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230904_051013/IGWN-GWTC4p1-18965dda8_5-GW230904_051013-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230911_195324,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230911_195324-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230911_195324/IGWN-GWTC4p1-18965dda8_5-GW230911_195324-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW230914_111401,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230914_111401-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230914_111401/IGWN-GWTC4p1-18965dda8_5-GW230914_111401-combined_PEDataRelease.hdf5,downloaded,,
