waveform,time,sky,macro_r_at_1,macro_r_at_5,macro_r_at_10,macro_median_rank,pm_r_at_1,pm_r_at_5,pm_r_at_10,pm_median_rank,sis_r_at_1,sis_r_at_5,sis_r_at_10,sis_median_rank
0.5,1.0,1.0,0.17222222222222222,0.40555555555555556,0.5611111111111111,8.0,0.16666666666666666,0.4,0.5666666666666667,8.0,0.17777777777777778,0.4111111111111111,0.5555555555555556,8.0
0.25,0.5,0.5,0.17222222222222222,0.40555555555555556,0.5611111111111111,8.0,0.16666666666666666,0.4,0.5666666666666667,8.0,0.17777777777777778,0.4111111111111111,0.5555555555555556,8.0
4.0,4.0,0.5,0.17777777777777778,0.4277777777777778,0.5527777777777778,8.0,0.15555555555555556,0.40555555555555556,0.5555555555555556,8.0,0.2,0.45,0.55,8.0
2.0,2.0,0.25,0.17777777777777778,0.4277777777777778,0.5527777777777778,8.0,0.15555555555555556,0.40555555555555556,0.5555555555555556,8.0,0.2,0.45,0.55,8.0
4.0,4.0,0.25,0.175,0.41666666666666663,0.5416666666666666,8.25,0.15,0.39444444444444443,0.5444444444444444,8.5,0.2,0.4388888888888889,0.5388888888888889,8.0
0.25,2.0,4.0,0.15833333333333333,0.35833333333333334,0.49444444444444446,10.5,0.16111111111111112,0.3611111111111111,0.4777777777777778,11.0,0.15555555555555556,0.35555555555555557,0.5111111111111111,10.0
2.0,4.0,2.0,0.14444444444444443,0.35833333333333334,0.4916666666666667,11.0,0.13333333333333333,0.35555555555555557,0.5,10.5,0.15555555555555556,0.3611111111111111,0.48333333333333334,11.5
1.0,2.0,1.0,0.14444444444444443,0.35833333333333334,0.4916666666666667,11.0,0.13333333333333333,0.35555555555555557,0.5,10.5,0.15555555555555556,0.3611111111111111,0.48333333333333334,11.5
0.5,1.0,0.5,0.14444444444444443,0.35833333333333334,0.4916666666666667,11.0,0.13333333333333333,0.35555555555555557,0.5,10.5,0.15555555555555556,0.3611111111111111,0.48333333333333334,11.5
0.25,0.5,0.25,0.14444444444444443,0.35833333333333334,0.4916666666666667,11.0,0.13333333333333333,0.35555555555555557,0.5,10.5,0.15555555555555556,0.3611111111111111,0.48333333333333334,11.5
1.0,4.0,4.0,0.14444444444444443,0.3388888888888889,0.46111111111111114,11.5,0.15555555555555556,0.34444444444444444,0.4444444444444444,12.0,0.13333333333333333,0.3333333333333333,0.4777777777777778,11.0
0.5,2.0,2.0,0.14444444444444443,0.3388888888888889,0.46111111111111114,11.5,0.15555555555555556,0.34444444444444444,0.4444444444444444,12.0,0.13333333333333333,0.3333333333333333,0.4777777777777778,11.0
0.25,1.0,1.0,0.14444444444444443,0.3388888888888889,0.46111111111111114,11.5,0.15555555555555556,0.34444444444444444,0.4444444444444444,12.0,0.13333333333333333,0.3333333333333333,0.4777777777777778,11.0
2.0,4.0,1.0,0.13055555555555554,0.3222222222222222,0.4555555555555556,12.5,0.11666666666666667,0.3111111111111111,0.45,12.0,0.14444444444444443,0.3333333333333333,0.46111111111111114,13.0
1.0,2.0,0.5,0.13055555555555554,0.3222222222222222,0.4555555555555556,12.5,0.11666666666666667,0.3111111111111111,0.45,12.0,0.14444444444444443,0.3333333333333333,0.46111111111111114,13.0
0.5,1.0,0.25,0.13055555555555554,0.3222222222222222,0.4555555555555556,12.5,0.11666666666666667,0.3111111111111111,0.45,12.0,0.14444444444444443,0.3333333333333333,0.46111111111111114,13.0
2.0,4.0,0.5,0.12777777777777777,0.3111111111111111,0.43333333333333335,14.25,0.11666666666666667,0.29444444444444445,0.4111111111111111,13.5,0.1388888888888889,0.3277777777777778,0.45555555555555555,15.0
1.0,2.0,0.25,0.12777777777777777,0.3111111111111111,0.43333333333333335,14.25,0.11666666666666667,0.29444444444444445,0.4111111111111111,13.5,0.1388888888888889,0.3277777777777778,0.45555555555555555,15.0
2.0,4.0,0.25,0.12777777777777777,0.3055555555555556,0.42500000000000004,14.5,0.11666666666666667,0.28888888888888886,0.4,14.0,0.1388888888888889,0.32222222222222224,0.45,15.0
0.5,4.0,4.0,0.13333333333333333,0.3,0.41388888888888886,15.5,0.1388888888888889,0.31666666666666665,0.40555555555555556,17.0,0.12777777777777777,0.2833333333333333,0.4222222222222222,14.0
0.25,2.0,2.0,0.13333333333333333,0.3,0.41388888888888886,15.5,0.1388888888888889,0.31666666666666665,0.40555555555555556,17.0,0.12777777777777777,0.2833333333333333,0.4222222222222222,14.0
1.0,4.0,2.0,0.12777777777777777,0.2972222222222222,0.41388888888888886,16.5,0.12777777777777777,0.3055555555555556,0.39444444444444443,16.0,0.12777777777777777,0.28888888888888886,0.43333333333333335,17.0
0.5,2.0,1.0,0.12777777777777777,0.2972222222222222,0.41388888888888886,16.5,0.12777777777777777,0.3055555555555556,0.39444444444444443,16.0,0.12777777777777777,0.28888888888888886,0.43333333333333335,17.0
0.25,1.0,0.5,0.12777777777777777,0.2972222222222222,0.41388888888888886,16.5,0.12777777777777777,0.3055555555555556,0.39444444444444443,16.0,0.12777777777777777,0.28888888888888886,0.43333333333333335,17.0
0.25,4.0,4.0,0.12777777777777777,0.2861111111111111,0.37777777777777777,18.25,0.13333333333333333,0.3055555555555556,0.38333333333333336,19.5,0.12222222222222222,0.26666666666666666,0.37222222222222223,17.0
1.0,4.0,1.0,0.11666666666666667,0.2777777777777778,0.37222222222222223,19.75,0.1111111111111111,0.2833333333333333,0.35555555555555557,20.0,0.12222222222222222,0.2722222222222222,0.3888888888888889,19.5
0.5,2.0,0.5,0.11666666666666667,0.2777777777777778,0.37222222222222223,19.75,0.1111111111111111,0.2833333333333333,0.35555555555555557,20.0,0.12222222222222222,0.2722222222222222,0.3888888888888889,19.5
0.25,1.0,0.25,0.11666666666666667,0.2777777777777778,0.37222222222222223,19.75,0.1111111111111111,0.2833333333333333,0.35555555555555557,20.0,0.12222222222222222,0.2722222222222222,0.3888888888888889,19.5
0.5,4.0,2.0,0.11388888888888889,0.2777777777777778,0.35833333333333334,20.5,0.11666666666666667,0.29444444444444445,0.35555555555555557,22.0,0.1111111111111111,0.2611111111111111,0.3611111111111111,19.0
0.25,2.0,1.0,0.11388888888888889,0.2777777777777778,0.35833333333333334,20.5,0.11666666666666667,0.29444444444444445,0.35555555555555557,22.0,0.1111111111111111,0.2611111111111111,0.3611111111111111,19.0
1.0,4.0,0.5,0.10833333333333334,0.2583333333333333,0.35555555555555557,22.5,0.1,0.2722222222222222,0.3388888888888889,22.5,0.11666666666666667,0.24444444444444444,0.37222222222222223,22.5
0.5,2.0,0.25,0.10833333333333334,0.2583333333333333,0.35555555555555557,22.5,0.1,0.2722222222222222,0.3388888888888889,22.5,0.11666666666666667,0.24444444444444444,0.37222222222222223,22.5
1.0,4.0,0.25,0.10833333333333334,0.25555555555555554,0.3388888888888889,24.5,0.1,0.26666666666666666,0.3333333333333333,25.0,0.11666666666666667,0.24444444444444444,0.34444444444444444,24.0
0.25,4.0,2.0,0.11388888888888889,0.2583333333333333,0.33611111111111114,23.75,0.1111111111111111,0.26666666666666666,0.34444444444444444,25.0,0.11666666666666667,0.25,0.3277777777777778,22.5
0.5,4.0,1.0,0.1,0.25555555555555554,0.3277777777777778,26.0,0.1,0.2611111111111111,0.3388888888888889,27.0,0.1,0.25,0.31666666666666665,25.0
0.25,2.0,0.5,0.1,0.25555555555555554,0.3277777777777778,26.0,0.1,0.2611111111111111,0.3388888888888889,27.0,0.1,0.25,0.31666666666666665,25.0
