rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,full_waveform_scored,pair_has_ood,object_class_i,object_class_j,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_rank_fraction
60,GW231029_111508,GW231102_071736,6.2103615,,0.72371477,-1.6799138,3.8350416666683222,0.18639005720615387,False,False,False,BBH,BBH,"L1 | H1,L1",1.4444444444444444,0.33563223,0.01721170395869191
61,GW230928_215827,GW231113_200417,6.1632743,0.8769846856594086,-0.46470466,-0.85839635,45.920726851854056,0.4238412380218506,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0,-0.7915436,0.017498565691336777
62,GW230630_125806,GW231113_122623,6.1407795,0.9968642592430115,-1.0540919,-1.2030532,135.97797453703703,0.3002760112285614,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0465116279069768,-0.7915436,0.01778542742398164
63,GW230930_110730,GW231001_140220,6.132471,0.923839807510376,1.7980692,-1.4076262,1.1214155092587073,0.24472352862358093,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2777777777777777,-0.50567925,0.018072289156626505
64,GW230911_195324,GW231119_075248,6.128753,0.7468406856060028,-0.76458937,-1.145744,68.49958217592427,0.31798726320266724,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3373493975903612,-0.3299174,0.01835915088927137
65,GW231119_075248,GW231231_154016,6.112874,0.6564849019050598,-0.46470466,-1.1836897,42.32463657407573,0.306147038936615,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.614457831325301,0.5960307,0.018646012621916237
66,GW230930_110730,GW240109_050431,6.087962,,-0.98785776,-1.0185153,100.74793287036871,0.3611307144165039,False,False,False,BBH,BBH,"H1,L1 | H1",1.1555555555555557,-0.7520128,0.0189328743545611
67,GW230930_110730,GW231119_075248,6.0452642,0.9821977615356445,-0.46470466,-1.2037084,49.864788194442234,0.300079345703125,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0843373493975903,-0.9062731,0.019219736087205966
68,GW230729_082317,GW230922_040658,5.9987993,0.9791330993175507,-0.48126355,-0.6760293,54.82200115740575,0.5086326003074646,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3157894736842106,-0.3299174,0.019506597819850834
69,GW230814_230901,GW231127_165300,5.9980803,0.608218640089035,-0.98785776,-0.9639962,104.73887847222387,0.3813658356666565,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.343434343434343,0.114768416,0.019793459552495698
70,GW230819_171910,GW231008_142521,5.988556,0.9902644753456116,-0.46470466,-0.7144394,49.879298611109455,0.48946642875671387,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.064516129032258,-0.9062731,0.020080321285140562
71,GW230814_230901,GW230928_215827,5.947583,0.7483177185058594,-0.46470466,-0.95888674,44.95098726851797,0.3833193778991699,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.095238095238095,0.49845973,0.020367183017785426
72,GW231129_081745,GW231231_154016,5.947369,0.7071954011917114,-0.21233524,-1.5395681,32.3073043981498,0.21447372436523438,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.425531914893617,0.33563223,0.020654044750430294
73,GW230726_002940,GW231119_075248,5.9405823,0.6267923712730408,-1.0540919,-1.169367,116.30773148148148,0.31056347489356995,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2650602409638554,-0.50567925,0.02094090648307516
74,GW230911_195324,GW231129_081745,5.9212623,0.7831774652004242,-0.76458937,-1.4714088,78.51691435185019,0.22960178554058075,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.180851063829787,-0.65255636,0.021227768215720023
75,GW230726_002940,GW231127_165300,5.837739,0.606653094291687,-1.0540919,-1.0215732,124.68287962963184,0.36002808809280396,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0606060606060606,-0.9062731,0.021514629948364887
76,GW230704_212616,GW231108_125142,5.8333545,0.999114453792572,-1.0540919,-0.9759648,126.64265972222167,0.3768286108970642,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4482758620689655,0.33563223,0.021801491681009755
77,GW230726_002940,GW230928_215827,5.8210983,0.7472386658191681,-0.48126355,-1.0148516,64.89498842592593,0.36245623230934143,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0,-0.7915436,0.02208835341365462
78,GW230707_124047,GW231113_122623,5.816973,0.9591025412082672,-1.0540919,-1.4761215,128.9900069444461,0.22852228581905365,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3837209302325582,0.049324512,0.022375215146299483
79,GW230518_125908,GW230811_032116,5.8076787,,-0.76458937,-1.1902461,84.59870486111001,0.304146409034729,True,False,True,NSBH_or_low_mass_OOD,BBH,"H1,L1 | H1,L1",1.036764705882353,-0.7915436,0.022662076878944348
80,GW230928_215827,GW240104_164932,5.7815804,0.742738664150238,-0.98785776,-0.9425759,97.78548032407407,0.38962292671203613,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4095238095238096,0.049324512,0.022948938611589215
81,GW230608_205047,GW231102_071736,5.7761083,0.9869595766067505,-0.91269135,-1.584478,146.4352916666672,0.20505480468273163,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.5294117647058825,0.21949525,0.02323580034423408
82,GW231102_071736,GW231119_075248,5.775546,0.9793585538864136,0.36398852,-1.7694126,17.024440972220013,0.17043305933475494,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.8795180722891565,0.9804751,0.023522662076878944
83,GW231127_165300,GW231223_202619,5.7614684,0.7664580643177032,0.09791964,-1.2817628,26.148126157406303,0.27754759788513184,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.02020202020202,-0.7915436,0.023809523809523808
84,GW230708_230935,GW230820_212515,5.756689,0.9851782023906708,-0.46470466,-0.46240926,42.92755208333333,0.6297645568847656,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.075268817204301,-0.9062731,0.024096385542168676
85,GW230930_110730,GW231029_111508,5.751825,,0.09791964,-1.3045064,29.0053055555539,0.27130642533302307,False,False,False,BBH,BBH,"H1,L1 | L1",1.2000000000000002,-0.65255636,0.02438324727481354
86,GW230914_111401,GW231001_140220,5.7280207,0.9630816578865051,0.36398852,-1.2118189,17.116886574074073,0.2976553738117218,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4956521739130435,0.21949525,0.024670109007458405
87,GW230708_230935,GW231102_071736,5.713264,0.992290198802948,-1.0540919,-1.5844748,116.33889930555667,0.20505546033382416,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.56,0.21949525,0.02495697074010327
88,GW230704_212616,GW231231_154016,5.6920075,0.696611613035202,-0.91269135,-1.0359762,179.75972222222222,0.35487979650497437,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.5402298850574714,0.21949525,0.025243832472748137
89,GW230928_215827,GW231231_154016,5.678113,0.6347730755805969,-0.98785776,-0.9907812,93.73737962963129,0.371286541223526,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2761904761904763,-0.50567925,0.025530694205393
90,GW230628_231200,GW230704_212616,5.6622496,0.9765637814998627,0.60855174,-1.9362079,5.926577546295745,0.14424993097782135,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.8850574712643677,0.9804751,0.025817555938037865
91,GW231029_111508,GW231104_133418,5.6617765,,0.60855174,-1.5830433,6.096644675927582,0.20534920692443848,False,False,False,BBH,BBH,"L1 | H1,L1",1.0925925925925926,-0.9062731,0.02610441767068273
92,GW230814_230901,GW231119_075248,5.6002307,0.628206729888916,-0.98785776,-1.2774851,96.36373032407353,0.2787373960018158,True,True,False,BBH,BBH,"H1,L1 | H1,L1",5.180722891566265,1.0820447,0.026391279403327597
93,GW230704_212616,GW230726_002940,5.5828476,0.6142780780792236,0.14496483,-1.1868075,21.12735416666501,0.30519405007362366,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2068965517241381,-0.65255636,0.02667814113597246
94,GW230911_195324,GW230930_110730,5.520806,0.6804318726062775,0.36398852,-1.4310818,18.634793981482034,0.23905019462108612,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2333333333333334,-0.50567925,0.026965002868617326
95,GW230518_125908,GW230624_113103,5.5151334,,-0.21233524,-1.5801451,36.93883680555555,0.2059452086687088,True,False,True,NSBH_or_low_mass_OOD,BBH,"H1,L1 | H1,L1",1.2368421052631577,-0.50567925,0.02725186460126219
96,GW231119_075248,GW231129_081745,5.5135393,0.9870770871639252,0.5091429,-1.7741017,10.017332175925926,0.16963575780391693,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1325301204819276,-0.7520128,0.027538726333907058
97,GW230911_195324,GW231127_165300,5.504867,0.7680650949478149,-0.76458937,-1.2250979,76.87473032407462,0.29372894763946533,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.121212121212121,-0.7520128,0.027825588066551922
98,GW230704_212616,GW231223_202619,5.4758115,0.7812345623970032,-0.91269135,-1.1039401,171.95835995370317,0.3315621018409729,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.160919540229885,-0.65255636,0.028112449799196786
99,GW231005_091549,GW231129_081745,5.460236,0.9639769792556763,-0.48126355,-1.6538817,54.95967708333223,0.19130589067935944,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1702127659574468,-0.65255636,0.028399311531841654
100,GW231119_075248,GW231224_024321,5.428313,0.9770890474319458,-0.21233524,-2.319531,34.78511458333444,0.09831968694925308,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.686746987951807,0.75670844,0.02868617326448652
