event_name,detector,local_path,source_local_path,download_status,sampling_rate,duration,gps_start
GW230517_044807,H1,data/real_strain/GW230517_044807/H-H1_GWOSC_O4a_4KHZ_R1-1368330240-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230517_044807/H-H1_GWOSC_O4a_4KHZ_R1-1368330240-4096.hdf5,available_symlink,4096,4096.0,1368330240.0
GW230517_044807,L1,data/real_strain/GW230517_044807/L-L1_GWOSC_O4a_4KHZ_R1-1368330240-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230517_044807/L-L1_GWOSC_O4a_4KHZ_R1-1368330240-4096.hdf5,available_symlink,4096,4096.0,1368330240.0
GW230518_125908,H1,data/real_strain/GW230518_125908/H-H1_GWOSC_O4a_4KHZ_R1-1368449024-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230518_125908/H-H1_GWOSC_O4a_4KHZ_R1-1368449024-4096.hdf5,available_symlink,4096,4096.0,1368449024.0
GW230518_125908,L1,data/real_strain/GW230518_125908/L-L1_GWOSC_O4a_4KHZ_R1-1368449024-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230518_125908/L-L1_GWOSC_O4a_4KHZ_R1-1368449024-4096.hdf5,available_symlink,4096,4096.0,1368449024.0
GW230528_145129,H1,data/real_strain/GW230528_145129/H-H1_GWOSC_O4a_4KHZ_R1-1369317376-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230528_145129/H-H1_GWOSC_O4a_4KHZ_R1-1369317376-4096.hdf5,available_symlink,4096,4096.0,1369317376.0
GW230528_145129,L1,data/real_strain/GW230528_145129/L-L1_GWOSC_O4a_4KHZ_R1-1369317376-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230528_145129/L-L1_GWOSC_O4a_4KHZ_R1-1369317376-4096.hdf5,available_symlink,4096,4096.0,1369317376.0
GW230529_181500,L1,data/real_strain/GW230529_181500/L-L1_GWOSC_O4a_4KHZ_R1-1369415680-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230529_181500/L-L1_GWOSC_O4a_4KHZ_R1-1369415680-4096.hdf5,available_symlink,4096,4096.0,1369415680.0
GW230531_141100,L1,data/real_strain/GW230531_141100/L-L1_GWOSC_O4a_4KHZ_R1-1369575424-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230531_141100/L-L1_GWOSC_O4a_4KHZ_R1-1369575424-4096.hdf5,available_symlink,4096,4096.0,1369575424.0
GW230601_224134,H1,data/real_strain/GW230601_224134/H-H1_GWOSC_O4a_4KHZ_R1-1369694208-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230601_224134/H-H1_GWOSC_O4a_4KHZ_R1-1369694208-4096.hdf5,available_symlink,4096,4096.0,1369694208.0
GW230601_224134,L1,data/real_strain/GW230601_224134/L-L1_GWOSC_O4a_4KHZ_R1-1369694208-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW230601_224134/L-L1_GWOSC_O4a_4KHZ_R1-1369694208-4096.hdf5,available_symlink,4096,4096.0,1369694208.0
