source_index,event_name,run,catalog,gps_time,detectors_available,network_snr,far_per_year,p_astro,mass_1_source,mass_2_source,chirp_mass_source,luminosity_distance,redshift,pe_release_url,pe_waveform_family,pe_doi,sky_map_path,sky_map_format,sky_map_group,sky_map_available,h1_l1_strain_available,embedding_available,object_class,is_ood_for_bbh_encoder,include_in_primary_search,dq_status
27,GW230704_021211,O4a_or_gap,GWTC-4.1,1372471949.2,"H1,L1",9.4,0.037,0.99,32.6,20.0,21.9,2700.0,0.47,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230704_021211-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230704_021211/IGWN-GWTC4p1-18965dda8_5-GW230704_021211-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
28,GW230704_212616,O4a_or_gap,GWTC-4.1,1372541194.7,"H1,L1",8.7,0.51,0.93,89.0,50.0,56.0,7300.0,1.06,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230704_212616-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230704_212616/IGWN-GWTC4p1-18965dda8_5-GW230704_212616-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
29,GW230706_104333,O4a_or_gap,GWTC-4.1,1372675431.2,"H1,L1",9.2,0.2199999999999999,0.99,16.3,11.5,11.8,1910.0,0.35,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230706_104333-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230706_104333/IGWN-GWTC4p1-18965dda8_5-GW230706_104333-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
30,GW230707_124047,O4a_or_gap,GWTC-4.1,1372768865.3,"H1,L1",11.9,0.00042,0.99,46.1,36.3,35.1,4400.0,0.71,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230707_124047-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230707_124047/IGWN-GWTC4p1-18965dda8_5-GW230707_124047-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
31,GW230708_053705,O4a_or_gap,GWTC-4.1,1372829843.1,"H1,L1",8.9,0.028,0.99,29.1,22.7,22.2,3300.0,0.55,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230708_053705-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230708_053705/IGWN-GWTC4p1-18965dda8_5-GW230708_053705-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
32,GW230708_071859,O4a_or_gap,GWTC-4.1,1372835957.4,"H1,L1",9.1,1.4,0.89,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
33,GW230708_230935,O4a_or_gap,GWTC-4.1,1372892993.5,"H1,L1",10.0,0.001,0.99,64.0,40.0,42.6,3500.0,0.59,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230708_230935-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230708_230935/IGWN-GWTC4p1-18965dda8_5-GW230708_230935-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
34,GW230709_063445,O4a_or_gap,GWTC-4.1,1372919703.1,"H1,L1",7.9,3.3,0.8,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
35,GW230709_122727,O4a_or_gap,GWTC-4.1,1372940865.2,"H1,L1",10.2,0.00097,0.99,45.0,30.0,30.9,4700.0,0.74,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230709_122727-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230709_122727/IGWN-GWTC4p1-18965dda8_5-GW230709_122727-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
36,GW230712_090405,O4a_or_gap,GWTC-4.1,1373187863.9,"H1,L1",9.5,0.018,0.99,32.0,12.5,16.2,2000.0,0.37,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230712_090405/IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
37,GW230717_102139,O4a_or_gap,GWTC-4.1,1373624517.1,"H1,L1",8.3,6.8,0.67,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
38,GW230721_222634,O4a_or_gap,GWTC-4.1,1374013612.8,"H1,L1",7.9,4.1,0.73,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
39,GW230723_084820,O4a_or_gap,GWTC-4.1,1374137318.4,"H1,L1",8.4,3.9,0.64,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
40,GW230723_101834,O4a_or_gap,GWTC-4.1,1374142732.4,"H1,L1",10.1,0.00022,0.99,16.6,10.6,11.4,1610.0,0.3,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230723_101834/IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
41,GW230726_002940,O4a_or_gap,GWTC-4.1,1374366598.1,"H1,L1",10.5,1e-05,0.99,35.6,27.9,27.2,2100.0,0.37,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230726_002940-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230726_002940/IGWN-GWTC4p1-18965dda8_5-GW230726_002940-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
42,GW230728_083628,O4a_or_gap,GWTC-4.1,1374568606.9,"H1,L1",13.1,1.4,0.89,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
43,GW230729_082317,O4a_or_gap,GWTC-4.1,1374654215.2,"H1,L1",9.5,0.17,0.98,12.3,7.6,8.34,1640.0,0.31,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230729_082317/IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
44,GW230731_215307,O4a_or_gap,GWTC-4.1,1374875605.9,"H1,L1",12.2,1e-05,0.99,10.3,7.9,7.78,1100.0,0.22,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230731_215307-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230731_215307/IGWN-GWTC4p1-18965dda8_5-GW230731_215307-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
45,GW230803_033412,O4a_or_gap,GWTC-4.1,1375068870.4,"H1,L1",9.4,0.044,0.99,44.0,29.0,30.5,5000.0,0.78,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230803_033412-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230803_033412/IGWN-GWTC4p1-18965dda8_5-GW230803_033412-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
46,GW230805_034249,O4a_or_gap,GWTC-4.1,1375242188.0,"H1,L1",9.5,0.00029,0.99,32.2,22.6,23.1,3500.0,0.58,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230805_034249-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230805_034249/IGWN-GWTC4p1-18965dda8_5-GW230805_034249-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
