method,grouping_kind,snr_group,lens_subset,n_queries,recall_at_1,recall_at_5,recall_at_10,recall_at_50,median_rank,mean_rank,mrr
time_score,pair_min_snr,high_snr_ge8,SIS,2996,0.012016021361815754,0.056074766355140186,0.1054739652870494,0.27002670226969294,178.5,474.0500667556742,0.043520477561862114
time_score,pair_min_snr,all,PM,3000,0.24066666666666667,0.7353333333333333,0.9423333333333334,1.0,3.0,4.154,0.4474337339045543
time_score,pair_min_snr,low_snr_lt8,PM,0,,,,,,,
time_score,pair_min_snr,high_snr_ge8,PM,3000,0.24066666666666667,0.7353333333333333,0.9423333333333334,1.0,3.0,4.154,0.4474337339045543
sky_score,query_snr,all,all,6000,0.2843333333333333,0.7133333333333334,0.8928333333333334,0.9916666666666667,3.0,28.112833333333334,0.4695358897353693
sky_score,query_snr,low_snr_lt8,all,2,0.0,0.0,0.0,0.5,88.5,88.5,0.029480346435709525
sky_score,query_snr,high_snr_ge8,all,5998,0.28442814271423805,0.713571190396799,0.8931310436812271,0.9918306102034011,3.0,28.092697565855286,0.4696826238278333
sky_score,query_snr,all,SIS,3000,0.287,0.722,0.9036666666666666,0.991,3.0,33.717,0.4724521364141949
sky_score,query_snr,low_snr_lt8,SIS,2,0.0,0.0,0.0,0.5,88.5,88.5,0.029480346435709525
sky_score,query_snr,high_snr_ge8,SIS,2998,0.2871914609739827,0.7224816544362909,0.9042695130086724,0.9913275517011341,3.0,33.680453635757175,0.47274764794853674
sky_score,query_snr,all,PM,3000,0.2816666666666667,0.7046666666666667,0.882,0.9923333333333333,3.0,22.508666666666667,0.46661964305654374
sky_score,query_snr,low_snr_lt8,PM,0,,,,,,,
sky_score,query_snr,high_snr_ge8,PM,3000,0.2816666666666667,0.7046666666666667,0.882,0.9923333333333333,3.0,22.508666666666667,0.46661964305654374
sky_score,pair_min_snr,all,all,6000,0.2843333333333333,0.7133333333333334,0.8928333333333334,0.9916666666666667,3.0,28.112833333333334,0.4695358897353693
sky_score,pair_min_snr,low_snr_lt8,all,4,0.0,0.25,0.25,0.5,40.0,60.5,0.08133853387359247
sky_score,pair_min_snr,high_snr_ge8,all,5996,0.2845230153435624,0.7136424282855237,0.8932621747831888,0.9919946631087392,3.0,28.091227484989993,0.4697948606198668
sky_score,pair_min_snr,all,SIS,3000,0.287,0.722,0.9036666666666666,0.991,3.0,33.717,0.4724521364141949
sky_score,pair_min_snr,low_snr_lt8,SIS,4,0.0,0.25,0.25,0.5,40.0,60.5,0.08133853387359247
sky_score,pair_min_snr,high_snr_ge8,SIS,2996,0.28738317757009346,0.722630173564753,0.904539385847797,0.9916555407209613,3.0,33.681241655540724,0.4729743174589754
sky_score,pair_min_snr,all,PM,3000,0.2816666666666667,0.7046666666666667,0.882,0.9923333333333333,3.0,22.508666666666667,0.46661964305654374
sky_score,pair_min_snr,low_snr_lt8,PM,0,,,,,,,
sky_score,pair_min_snr,high_snr_ge8,PM,3000,0.2816666666666667,0.7046666666666667,0.882,0.9923333333333333,3.0,22.508666666666667,0.46661964305654374
final_score,query_snr,all,all,6000,0.9735,0.9983333333333333,0.9991666666666666,0.9996666666666667,1.0,1.0958333333333334,0.9840254714605141
final_score,query_snr,low_snr_lt8,all,2,0.5,0.5,0.5,1.0,8.5,8.5,0.53125
final_score,query_snr,high_snr_ge8,all,5998,0.9736578859619873,0.9984994998332778,0.9993331110370124,0.9996665555185061,1.0,1.0933644548182728,0.9841764469428284
final_score,query_snr,all,SIS,3000,0.9616666666666667,0.998,0.999,0.9993333333333333,1.0,1.145,0.9771768688469539
final_score,query_snr,low_snr_lt8,SIS,2,0.5,0.5,0.5,1.0,8.5,8.5,0.53125
final_score,query_snr,high_snr_ge8,SIS,2998,0.961974649766511,0.9983322214809873,0.9993328885923949,0.9993328885923949,1.0,1.1400933955970647,0.9774743517481194
final_score,query_snr,all,PM,3000,0.9853333333333333,0.9986666666666667,0.9993333333333333,1.0,1.0,1.0466666666666666,0.9908740740740741
final_score,query_snr,low_snr_lt8,PM,0,,,,,,,
final_score,query_snr,high_snr_ge8,PM,3000,0.9853333333333333,0.9986666666666667,0.9993333333333333,1.0,1.0,1.0466666666666666,0.9908740740740741
final_score,pair_min_snr,all,all,6000,0.9735,0.9983333333333333,0.9991666666666666,0.9996666666666667,1.0,1.0958333333333334,0.9840254714605141
final_score,pair_min_snr,low_snr_lt8,all,4,0.25,0.75,0.75,1.0,3.5,6.0,0.440625
final_score,pair_min_snr,high_snr_ge8,all,5996,0.9739826551034023,0.9984989993328885,0.9993328885923949,0.9996664442961974,1.0,1.0925617078052035,0.9843879801139233
final_score,pair_min_snr,all,SIS,3000,0.9616666666666667,0.998,0.999,0.9993333333333333,1.0,1.145,0.9771768688469539
final_score,pair_min_snr,low_snr_lt8,SIS,4,0.25,0.75,0.75,1.0,3.5,6.0,0.440625
final_score,pair_min_snr,high_snr_ge8,SIS,2996,0.9626168224299065,0.9983311081441922,0.9993324432576769,0.9993324432576769,1.0,1.1385180240320427,0.9778932264822636
final_score,pair_min_snr,all,PM,3000,0.9853333333333333,0.9986666666666667,0.9993333333333333,1.0,1.0,1.0466666666666666,0.9908740740740741
final_score,pair_min_snr,low_snr_lt8,PM,0,,,,,,,
final_score,pair_min_snr,high_snr_ge8,PM,3000,0.9853333333333333,0.9986666666666667,0.9993333333333333,1.0,1.0,1.0466666666666666,0.9908740740740741
