experiment,lens_fraction,seed,method,budget,n_events,n_true_pairs,n_false_pairs_estimated,base_positive_rate,true_recovered,false_candidates,recall,precision,enrichment_over_base_rate,false_pair_tail_samples,false_tail_model,false_tail_threshold,false_tail_fraction
rarity_fixed_budget_scan,0.001,1,time_delay + sky_localization,100,28872,52,416781704.0,1.247655379617912e-07,0,100,0.0,0.0,0.0,350000,gpd,1.7520139453225905,0.05
rarity_fixed_budget_scan,0.001,1,time_delay + sky_localization,200,28872,52,416781704.0,1.247655379617912e-07,0,200,0.0,0.0,0.0,350000,gpd,1.7520139453225905,0.05
rarity_fixed_budget_scan,0.001,1,calibrated surrogate waveform_embedding only,50,28872,52,416781704.0,1.247655379617912e-07,3,47,0.057692307692307696,0.06,480902.0261538462,350000,gpd,1.470798361301422,0.05
rarity_fixed_budget_scan,0.001,1,calibrated surrogate waveform_embedding only,100,28872,52,416781704.0,1.247655379617912e-07,3,97,0.057692307692307696,0.03,240451.0130769231,350000,gpd,1.470798361301422,0.05
rarity_fixed_budget_scan,0.001,1,calibrated surrogate waveform_embedding only,200,28872,52,416781704.0,1.247655379617912e-07,3,197,0.057692307692307696,0.015,120225.50653846154,350000,gpd,1.470798361301422,0.05
rarity_fixed_budget_scan,0.001,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,28872,52,416781704.0,1.247655379617912e-07,0,50,0.0,0.0,0.0,350000,gpd,1.469188994330586,0.05
rarity_fixed_budget_scan,0.001,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,28872,52,416781704.0,1.247655379617912e-07,0,100,0.0,0.0,0.0,350000,gpd,1.469188994330586,0.05
rarity_fixed_budget_scan,0.001,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,28872,52,416781704.0,1.247655379617912e-07,0,200,0.0,0.0,0.0,350000,gpd,1.469188994330586,0.05
rarity_fixed_budget_scan,0.001,2,time_delay + sky_localization,50,28701,57,411859293.0,1.3839676093307098e-07,0,50,0.0,0.0,0.0,350000,gpd,1.9669188908238948,0.05
rarity_fixed_budget_scan,0.001,2,time_delay + sky_localization,100,28701,57,411859293.0,1.3839676093307098e-07,0,100,0.0,0.0,0.0,350000,gpd,1.9669188908238948,0.05
rarity_fixed_budget_scan,0.001,2,time_delay + sky_localization,200,28701,57,411859293.0,1.3839676093307098e-07,0,200,0.0,0.0,0.0,350000,gpd,1.9669188908238948,0.05
rarity_fixed_budget_scan,0.001,2,calibrated surrogate waveform_embedding only,50,28701,57,411859293.0,1.3839676093307098e-07,12,38,0.21052631578947367,0.24,1734144.6315789472,350000,gpd,1.5170971691608428,0.05
rarity_fixed_budget_scan,0.001,2,calibrated surrogate waveform_embedding only,100,28701,57,411859293.0,1.3839676093307098e-07,12,88,0.21052631578947367,0.12,867072.3157894736,350000,gpd,1.5170971691608428,0.05
rarity_fixed_budget_scan,0.001,2,calibrated surrogate waveform_embedding only,200,28701,57,411859293.0,1.3839676093307098e-07,12,188,0.21052631578947367,0.06,433536.1578947368,350000,gpd,1.5170971691608428,0.05
rarity_fixed_budget_scan,0.001,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,28701,57,411859293.0,1.3839676093307098e-07,20,30,0.3508771929824561,0.4,2890241.052631579,350000,gpd,1.5144730387423233,0.05
rarity_fixed_budget_scan,0.001,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,28701,57,411859293.0,1.3839676093307098e-07,20,80,0.3508771929824561,0.2,1445120.5263157894,350000,gpd,1.5144730387423233,0.05
rarity_fixed_budget_scan,0.001,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,28701,57,411859293.0,1.3839676093307098e-07,20,180,0.3508771929824561,0.1,722560.2631578947,350000,gpd,1.5144730387423233,0.05
rarity_fixed_budget_scan,0.0001,0,time_delay + sky_localization,50,286931,52,41164555863.0,1.2632226643565384e-09,0,50,0.0,0.0,0.0,350000,gpd,1.7990147040036202,0.05
rarity_fixed_budget_scan,0.0001,0,time_delay + sky_localization,100,286931,52,41164555863.0,1.2632226643565384e-09,0,100,0.0,0.0,0.0,350000,gpd,1.7990147040036202,0.05
rarity_fixed_budget_scan,0.0001,0,time_delay + sky_localization,200,286931,52,41164555863.0,1.2632226643565384e-09,0,200,0.0,0.0,0.0,350000,gpd,1.7990147040036202,0.05
rarity_fixed_budget_scan,0.0001,0,calibrated surrogate waveform_embedding only,50,286931,52,41164555863.0,1.2632226643565384e-09,10,40,0.19230769230769232,0.2,158325215.05769232,350000,gpd,1.5312115013599394,0.05
rarity_fixed_budget_scan,0.0001,0,calibrated surrogate waveform_embedding only,100,286931,52,41164555863.0,1.2632226643565384e-09,10,90,0.19230769230769232,0.1,79162607.52884616,350000,gpd,1.5312115013599394,0.05
rarity_fixed_budget_scan,0.0001,0,calibrated surrogate waveform_embedding only,200,286931,52,41164555863.0,1.2632226643565384e-09,10,190,0.19230769230769232,0.05,39581303.76442308,350000,gpd,1.5312115013599394,0.05
rarity_fixed_budget_scan,0.0001,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,286931,52,41164555863.0,1.2632226643565384e-09,0,50,0.0,0.0,0.0,350000,gpd,1.5283272108212633,0.05
rarity_fixed_budget_scan,0.0001,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,286931,52,41164555863.0,1.2632226643565384e-09,0,100,0.0,0.0,0.0,350000,gpd,1.5283272108212633,0.05
rarity_fixed_budget_scan,0.0001,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,286931,52,41164555863.0,1.2632226643565384e-09,0,200,0.0,0.0,0.0,350000,gpd,1.5283272108212633,0.05
rarity_fixed_budget_scan,0.0001,1,time_delay + sky_localization,50,286670,52,41089701063.0,1.2655239290854111e-09,0,50,0.0,0.0,0.0,350000,gpd,1.7586074957238846,0.05
rarity_fixed_budget_scan,0.0001,1,time_delay + sky_localization,100,286670,52,41089701063.0,1.2655239290854111e-09,0,100,0.0,0.0,0.0,350000,gpd,1.7586074957238846,0.05
rarity_fixed_budget_scan,0.0001,1,time_delay + sky_localization,200,286670,52,41089701063.0,1.2655239290854111e-09,0,200,0.0,0.0,0.0,350000,gpd,1.7586074957238846,0.05
rarity_fixed_budget_scan,0.0001,1,calibrated surrogate waveform_embedding only,50,286670,52,41089701063.0,1.2655239290854111e-09,4,46,0.07692307692307693,0.08,63214924.7923077,350000,gpd,1.4756006181240082,0.05
rarity_fixed_budget_scan,0.0001,1,calibrated surrogate waveform_embedding only,100,286670,52,41089701063.0,1.2655239290854111e-09,4,96,0.07692307692307693,0.04,31607462.39615385,350000,gpd,1.4756006181240082,0.05
rarity_fixed_budget_scan,0.0001,1,calibrated surrogate waveform_embedding only,200,286670,52,41089701063.0,1.2655239290854111e-09,4,196,0.07692307692307693,0.02,15803731.198076924,350000,gpd,1.4756006181240082,0.05
rarity_fixed_budget_scan,0.0001,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,286670,52,41089701063.0,1.2655239290854111e-09,0,50,0.0,0.0,0.0,350000,gpd,1.4740443410041117,0.05
rarity_fixed_budget_scan,0.0001,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,286670,52,41089701063.0,1.2655239290854111e-09,0,100,0.0,0.0,0.0,350000,gpd,1.4740443410041117,0.05
rarity_fixed_budget_scan,0.0001,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,286670,52,41089701063.0,1.2655239290854111e-09,0,200,0.0,0.0,0.0,350000,gpd,1.4740443410041117,0.05
rarity_fixed_budget_scan,0.0001,2,time_delay + sky_localization,50,286970,57,41175746908.0,1.384310041744983e-09,0,50,0.0,0.0,0.0,350000,gpd,1.9748743397491844,0.05
rarity_fixed_budget_scan,0.0001,2,time_delay + sky_localization,100,286970,57,41175746908.0,1.384310041744983e-09,0,100,0.0,0.0,0.0,350000,gpd,1.9748743397491844,0.05
rarity_fixed_budget_scan,0.0001,2,time_delay + sky_localization,200,286970,57,41175746908.0,1.384310041744983e-09,0,200,0.0,0.0,0.0,350000,gpd,1.9748743397491844,0.05
rarity_fixed_budget_scan,0.0001,2,calibrated surrogate waveform_embedding only,50,286970,57,41175746908.0,1.384310041744983e-09,8,42,0.14035087719298245,0.16,115581044.1122807,350000,gpd,1.516423738002777,0.05
rarity_fixed_budget_scan,0.0001,2,calibrated surrogate waveform_embedding only,100,286970,57,41175746908.0,1.384310041744983e-09,8,92,0.14035087719298245,0.08,57790522.05614035,350000,gpd,1.516423738002777,0.05
rarity_fixed_budget_scan,0.0001,2,calibrated surrogate waveform_embedding only,200,286970,57,41175746908.0,1.384310041744983e-09,8,192,0.14035087719298245,0.04,28895261.028070174,350000,gpd,1.516423738002777,0.05
rarity_fixed_budget_scan,0.0001,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,286970,57,41175746908.0,1.384310041744983e-09,0,50,0.0,0.0,0.0,350000,gpd,1.5137643374576717,0.05
rarity_fixed_budget_scan,0.0001,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,286970,57,41175746908.0,1.384310041744983e-09,0,100,0.0,0.0,0.0,350000,gpd,1.5137643374576717,0.05
rarity_fixed_budget_scan,0.0001,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,286970,57,41175746908.0,1.384310041744983e-09,0,200,0.0,0.0,0.0,350000,gpd,1.5137643374576717,0.05
