detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,weight_grid,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_observed_sky_step,lambda_observed_sky_log_overlap
ET3,noisy,stage7_modality_combinations,waveform_plus_raw_time,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,raw_time",0.872,0.9503333333333334,0.9636666666666667,1.0,6000,0.858,0.9438333333333333,0.9648333333333333,0.9883333333333333,0.9931666666666666,0.9976666666666667,1.0,90,0.9923333333333333,450,0.9976666666666667,900,0.9983333333333333,0.5,,,
ET3,noisy,stage7_modality_combinations,waveform_plus_raw_time,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,raw_time",0.872,0.9503333333333334,0.9636666666666667,1.0,3000,0.7863333333333333,0.9183333333333333,0.9503333333333334,0.9843333333333333,0.9906666666666667,0.996,1.0,90,0.9893333333333333,450,0.996,900,0.9966666666666667,0.5,,,
ET3,noisy,stage7_modality_combinations,waveform_plus_raw_time,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,raw_time",0.872,0.9503333333333334,0.9636666666666667,1.0,3000,0.9296666666666666,0.9693333333333334,0.9793333333333333,0.9923333333333333,0.9956666666666667,0.9993333333333333,1.0,90,0.9953333333333333,450,0.9993333333333333,900,1.0,0.5,,,
ET3,noisy,stage7_modality_combinations,waveform_plus_raw_time,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,raw_time",0.872,0.9503333333333334,0.9636666666666667,1.0,6000,0.858,0.9438333333333333,0.9648333333333333,0.9883333333333333,0.9931666666666668,0.9976666666666667,1.0,90,0.9923333333333333,450,0.9976666666666667,900,0.9983333333333333,0.5,,,
ET3,noisy,stage7_modality_combinations,waveform_plus_liao_time_lr,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,liao_time_lr",0.8426666666666667,0.9358333333333333,0.9605,1.0,6000,0.83,0.931,0.9596666666666667,0.9861666666666666,0.992,0.9983333333333333,1.0,90,0.9918333333333333,450,0.998,900,0.9988333333333334,,1.0,,
ET3,noisy,stage7_modality_combinations,waveform_plus_liao_time_lr,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,liao_time_lr",0.8426666666666667,0.9358333333333333,0.9605,1.0,3000,0.72,0.8823333333333333,0.933,0.9763333333333334,0.9853333333333333,0.9966666666666667,1.0,90,0.9853333333333333,450,0.996,900,0.9976666666666667,,1.0,,
ET3,noisy,stage7_modality_combinations,waveform_plus_liao_time_lr,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,liao_time_lr",0.8426666666666667,0.9358333333333333,0.9605,1.0,3000,0.94,0.9796666666666667,0.9863333333333333,0.996,0.9986666666666667,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,,1.0,,
ET3,noisy,stage7_modality_combinations,waveform_plus_liao_time_lr,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,liao_time_lr",0.8426666666666667,0.9358333333333333,0.9605,1.0,6000,0.83,0.931,0.9596666666666667,0.9861666666666666,0.992,0.9983333333333333,1.0,90,0.9918333333333333,450,0.998,900,0.9988333333333334,,1.0,,
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_step,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_step",0.8985,0.9768333333333333,0.9891666666666666,1.0,6000,0.8968333333333334,0.9838333333333333,0.9931666666666666,0.9976666666666667,0.9981666666666666,0.9995,1.0,90,0.9981666666666666,450,0.9993333333333333,900,0.9998333333333334,,,0.25,
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_step,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_step",0.8985,0.9768333333333333,0.9891666666666666,1.0,3000,0.915,0.9886666666666667,0.9956666666666667,0.999,0.999,1.0,1.0,90,0.999,450,0.9996666666666667,900,1.0,,,0.25,
