detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,train_s,mean_epoch_s,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,val_hard_candidate_kind,val_hard_n_queries,val_hard_target_negatives_per_query,val_hard_shortage_queries,val_hard_mean_used_eps,val_hard_p_dt_pos_lt_dt_neg,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,val_auc_hard_sampled,train_examples,train_positive
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9045,0.9545,0.9771666666666666,0.9983333333333333,0.999,0.9998333333333334,1.0,90,0.999,450,0.9998333333333334,900,0.9998333333333334,0.9999253095138888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.9096666666666666,0.9553333333333334,0.9756666666666667,0.9966666666666667,0.998,0.9996666666666667,1.0,90,0.998,450,0.9996666666666667,900,0.9996666666666667,0.9999253095138888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.8993333333333333,0.9536666666666667,0.9786666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999253095138888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9045,0.9545,0.9771666666666667,0.9983333333333333,0.999,0.9998333333333334,1.0,90,0.999,450,0.9998333333333334,900,0.9998333333333334,0.9999253095138888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9566666666666667,0.9886666666666667,0.9938333333333333,0.999,0.9995,0.9998333333333334,1.0,90,0.9991666666666666,450,0.9998333333333334,900,1.0,0.9999558571527777,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.9403333333333334,0.984,0.991,0.998,0.999,0.9996666666666667,1.0,90,0.9983333333333333,450,0.9996666666666667,900,1.0,0.9999558571527777,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.973,0.9933333333333333,0.9966666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999558571527777,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9566666666666667,0.9886666666666666,0.9938333333333333,0.999,0.9995,0.9998333333333334,1.0,90,0.9991666666666666,450,0.9998333333333334,900,1.0,0.9999558571527777,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,90,0.9996666666666667,450,0.9996666666666667,900,0.9996666666666667,0.9999976886805556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.999,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,90,0.9993333333333333,450,0.9993333333333333,900,0.9993333333333333,0.9999976886805556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999976886805556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,90,0.9996666666666667,450,0.9996666666666667,900,0.9996666666666667,0.9999976886805556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9966666666666667,0.9996666666666667,0.9998333333333334,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999999693055556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.9963333333333333,0.9993333333333333,0.9996666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999999693055556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.997,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999999693055556,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9966666666666666,0.9996666666666667,0.9998333333333334,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999999693055556,1206000.0,6000.0
