idx,event_name,sky_map_path,source_format,source_group,source_nside,source_ordering,common_nside,map_ra,map_dec,map_max_prob,map_area90_deg2
51,GW231008_142521,data/gwtc4p1/pe_hdf5/GW231008_142521/IGWN-GWTC4p1-18965dda8_5-GW231008_142521-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,0.06135923151542564,0.07689868313581938,1.451257957806203e-05,3310.5282137194154
52,GW231014_040532,data/gwtc4p1/pe_hdf5/GW231014_040532/IGWN-GWTC4p1-18965dda8_5-GW231014_040532-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,0.516951525517461,0.40697512562875704,3.608323822240295e-05,1806.0287848623666
53,GW231018_233037,data/gwtc4p1/pe_hdf5/GW231018_233037/IGWN-GWTC4p1-18965dda8_5-GW231018_233037-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,0.5905826033359719,-0.2526802551420788,3.709352677861641e-05,1591.4450049156428
54,GW231020_142947,data/gwtc4p1/pe_hdf5/GW231020_142947/IGWN-GWTC4p1-18965dda8_5-GW231020_142947-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,2.5933606752007647,0.8248334576527944,3.3819273083373164e-05,1442.5228387434865
55,GW231028_153006,data/gwtc4p1/pe_hdf5/GW231028_153006/IGWN-GWTC4p1-18965dda8_5-GW231028_153006-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,512,RING,512,3.5956509668039427,0.31919474625253796,3.5094264599243496e-05,1337.2439421223107
56,GW231029_111508,data/gwtc4p1/pe_hdf5/GW231029_111508/IGWN-GWTC4p1-18965dda8_5-GW231029_111508-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,64,RING,512,1.47179655829942,-1.3807387380411775,9.045109550514543e-07,28627.53251432372
57,GW231102_071736,data/gwtc4p1/pe_hdf5/GW231102_071736/IGWN-GWTC4p1-18965dda8_5-GW231102_071736-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,1.0064732019833966,-0.9131472324572587,1.625627010161348e-05,3161.055261092589
58,GW231104_133418,data/gwtc4p1/pe_hdf5/GW231104_133418/IGWN-GWTC4p1-18965dda8_5-GW231104_133418-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,4.311152962127298,-1.1270211127597989,2.988180312801921e-05,1019.1123086976593
59,GW231108_125142,data/gwtc4p1/pe_hdf5/GW231108_125142/IGWN-GWTC4p1-18965dda8_5-GW231108_125142-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,1.8104957662733385,-1.3245880699065915,5.303450961927621e-05,1076.4990116889728
60,GW231110_040320,data/gwtc4p1/pe_hdf5/GW231110_040320/IGWN-GWTC4p1-18965dda8_5-GW231110_040320-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,5.057124815463722,1.149879327219321,5.64373549356828e-05,767.966799331424
